state_code,date,commodity,total_allocated_qty
AN,2020-07-31,wheat,0.16999999999999998
AN,2020-08-31,rice,503.64
AN,2020-09-30,rice,110.05
AN,2020-10-31,rice,637.34
AN,2020-11-30,rice,91.17
AN,2020-12-31,rice,575.96
AN,2021-01-31,rice,24.4
AN,2021-02-28,rice,292.04999999999995
AN,2021-03-31,rice,401.85
AN,2021-04-30,rice,317.54
AN,2021-05-31,rice,317.81
AN,2021-06-30,rice,316.04
AP,2017-08-31,rice,142.87
AP,2017-09-30,rice,133.54
AP,2017-10-31,rice,158506.74
AP,2017-11-30,rice,157594.87
AP,2017-12-31,rice,156928.57
AP,2018-01-31,rice,157013.18
AP,2018-02-28,rice,156996.38
AP,2018-03-31,rice,157091.73
AP,2018-04-30,rice,159901.96
AP,2018-05-31,rice,160109.87
AP,2018-06-30,rice,160137.97
AP,2018-07-31,rice,160371.31
AP,2018-08-31,rice,160133.82
AP,2018-09-30,rice,160285.96
AP,2018-10-31,rice,160158.5
AP,2018-11-30,rice,160280.12
AP,2018-12-31,rice,160349.46
AP,2019-01-31,rice,160419.66
AP,2019-02-28,rice,157155.74
AP,2019-03-31,rice,156920.47
AP,2019-04-30,rice,2956.6800000000003
AP,2019-05-31,rice,157363.30000000002
AP,2019-06-30,rice,159257.83
AP,2019-07-31,rice,157195.71
AP,2019-08-31,rice,157342.39
AP,2019-09-30,rice,11577.57
AP,2019-10-31,rice,9994.82
AP,2019-11-30,rice,156209.94
AP,2019-12-31,rice,156186.78
AP,2020-01-31,rice,156177.28
AP,2020-02-29,rice,156171.8
AP,2020-03-31,rice,156023.45
AP,2020-04-30,rice,156023.43
AP,2020-05-31,rice,153332.76
AP,2020-06-30,rice,153576.42
AP,2020-07-31,rice,153577.14
AP,2020-08-31,rice,171531.2
AP,2020-09-30,rice,155321.51
AP,2020-10-31,rice,155340.02
AP,2020-11-30,rice,154119.1
AP,2020-12-31,rice,153377.37
AP,2021-01-31,rice,153114.83
AP,2021-02-28,rice,152838.62
AP,2021-03-31,rice,152838.62
AP,2021-04-30,rice,153318.35
AP,2021-05-31,rice,153129.54
AP,2021-06-30,rice,150269.11
AP,2021-07-31,rice,131602.33
AP,2021-08-31,rice,123202.52
AP,2021-09-30,rice,131590.23
AR,2017-12-31,rice,266.42
AR,2018-01-31,rice,3628.8
AR,2018-02-28,rice,3628.8
AR,2018-03-31,rice,3286.5
AR,2018-04-30,rice,5677.450000000001
AR,2018-05-31,rice,4677.45
AR,2018-06-30,rice,4677.45
AR,2018-07-31,rice,4691.55
AR,2018-07-31,wheat,0.2
AR,2018-08-31,rice,4692.36
AR,2018-09-30,rice,9323.53
AR,2018-10-31,rice,9152.32
AR,2018-11-30,rice,9164.55
AR,2018-12-31,rice,9163.55
AR,2019-01-31,rice,9279.01
AR,2019-02-28,rice,9243.89
AR,2019-03-31,rice,9242.85
AR,2019-04-30,rice,9809.42
AR,2019-04-30,wheat,35.96
AR,2019-05-31,rice,9919.43
AR,2019-06-30,rice,9438.22
AR,2019-07-31,rice,8704.67
AR,2019-08-31,rice,9010.95
AR,2019-09-30,rice,9327.39
AR,2019-10-31,rice,9195.21
AR,2019-11-30,rice,9150.42
AR,2019-12-31,rice,8980.71
AR,2020-01-31,rice,13460.51
AR,2020-02-29,rice,10552.57
AR,2020-03-31,rice,10252.33
AR,2020-04-30,rice,8658.89
AR,2020-05-31,rice,9038.63
AR,2020-06-30,rice,8627.79
AR,2020-07-31,rice,8598.99
AR,2020-08-31,rice,8433.87
AR,2020-09-30,rice,8080.86
AR,2020-10-31,rice,10691.31
AR,2020-11-30,rice,6121.84
AR,2020-12-31,rice,5303.59
AR,2021-01-31,rice,5765.31
AR,2021-02-28,rice,5397.65
AR,2021-03-31,rice,5851.67
AR,2021-04-30,rice,5505.35
AR,2021-05-31,rice,6515.3
AR,2021-06-30,rice,6011.08
AR,2021-07-31,rice,1356.71
AR,2021-08-31,rice,1147.04
AR,2021-09-30,rice,774.49
AS,2017-08-31,rice,4306.26
AS,2017-11-30,rice,4418.02
AS,2017-12-31,rice,4414.02
AS,2018-01-31,rice,124374.67
AS,2018-01-31,wheat,3665.75
AS,2018-02-28,rice,175606.63
AS,2018-02-28,wheat,3374.95
AS,2018-03-31,rice,124656.53
AS,2018-03-31,wheat,5614.95
AS,2018-04-30,rice,126145.07
AS,2018-04-30,wheat,6710.9
AS,2018-05-31,rice,125455.70999999999
AS,2018-05-31,wheat,3858.5
AS,2018-06-30,rice,125448.49
AS,2018-06-30,wheat,3756.19
AS,2018-07-31,rice,125579.89
AS,2018-07-31,wheat,3846.3
AS,2018-08-31,rice,126780.06
AS,2018-08-31,wheat,4102.34
AS,2018-09-30,rice,124299.90000000001
AS,2018-09-30,wheat,3245.83
AS,2018-10-31,rice,125286.47
AS,2018-10-31,wheat,3116.4
AS,2018-11-30,rice,125261.32
AS,2018-11-30,wheat,3615.23
AS,2018-12-31,rice,124355.67
AS,2018-12-31,wheat,3372.6
AS,2019-01-31,rice,112367.43
AS,2019-01-31,wheat,6886.99
AS,2019-02-28,rice,95829.61
AS,2019-02-28,wheat,3472.0
AS,2019-03-31,rice,117722.01
AS,2019-03-31,wheat,4591.9
AS,2019-04-30,rice,108788.91
AS,2019-04-30,wheat,3887.5
AS,2019-05-31,rice,123749.48999999999
AS,2019-05-31,wheat,4652.7
AS,2019-06-30,rice,124545.05
AS,2019-06-30,wheat,4465.0
AS,2019-07-31,rice,124484.64
AS,2019-07-31,wheat,4091.6
AS,2019-08-31,rice,124477.36
AS,2019-08-31,wheat,5098.1
AS,2019-09-30,rice,124466.62
AS,2019-09-30,wheat,4584.0
AS,2019-10-31,rice,138096.12
AS,2019-10-31,wheat,5102.8
AS,2019-11-30,rice,124486.6
AS,2019-11-30,wheat,5003.85
AS,2019-12-31,rice,154444.15
AS,2019-12-31,wheat,4913.55
AS,2020-01-31,rice,124500.39
AS,2020-01-31,wheat,5019.5
AS,2020-02-29,rice,124473.1
AS,2020-02-29,wheat,5023.2
AS,2020-03-31,rice,124461.89
AS,2020-03-31,wheat,5023.9
AS,2020-04-30,rice,124478.03
AS,2020-04-30,wheat,4995.25
AS,2020-05-31,rice,124572.07
AS,2020-05-31,wheat,5020.25
AS,2020-06-30,rice,124545.66
AS,2020-06-30,wheat,5122.07
AS,2020-07-31,rice,124609.06999999999
AS,2020-07-31,wheat,4964.85
AS,2020-08-31,rice,124774.28
AS,2020-08-31,wheat,5096.25
AS,2020-09-30,rice,115813.94
